#{"t_start": 1694990745.1364563, "env_id": "Radar-v0"}
r,l,t
0.0,1,2.679975
0.0,1,2.681776
0.0,1,2.683469
0.0,1,2.685229
0.0,1,2.686856
0.0,1,2.688549
0.0,1,2.690123
0.0,1,2.691599
0.0,1,2.693318
0.0,1,2.695013
0.0,1,2.696668
0.0,1,2.698337
0.0,1,2.700235
0.0,1,2.701864
0.0,1,2.70349
0.0,1,2.70518
0.0,1,2.706745
0.0,1,2.708514
0.0,1,2.710207
0.0,1,2.711845
0.0,1,2.713615
0.0,1,2.715205
0.0,1,2.716969
0.0,1,2.718622
0.0,1,2.720247
0.0,1,2.722093
0.0,1,2.723841
0.0,1,2.725492
0.0,1,2.727079
0.0,1,2.728878
0.0,1,2.730556
0.0,1,2.732371
0.0,1,2.734083
0.0,1,2.735709
0.0,1,2.737361
0.0,1,2.739023
0.0,1,2.740796
0.0,1,2.742409
0.0,1,2.744213
0.0,1,2.745847
0.0,1,2.747478
0.0,1,2.749228
0.0,1,2.750889
0.0,1,2.75255
0.0,1,2.754148
0.0,1,2.755741
0.0,1,2.757373
0.0,1,2.758951
0.0,1,2.76066
0.0,1,2.76248
0.0,1,2.764224
0.0,1,2.766184
0.0,1,2.767838
0.0,1,2.76952
0.0,1,2.771143
0.0,1,2.772954
0.0,1,2.774615
0.0,1,2.776486
0.0,1,2.778177
0.0,1,2.779781
0.0,1,2.781557
0.0,1,2.783191
0.0,1,2.785028
0.0,1,2.786631
0.0,1,2.788499
0.0,1,2.790183
0.0,1,2.791882
0.0,1,2.793638
0.0,1,2.795242
0.0,1,2.796855
0.0,1,2.798546
0.0,1,2.800178
0.0,1,2.8018
0.0,1,2.803406
0.0,1,2.804999
0.0,1,2.806615
0.0,1,2.808734
0.0,1,2.81039
0.0,1,2.812029
0.0,1,2.813714
0.0,1,2.815321
0.0,1,2.816913
0.0,1,2.818504
0.0,1,2.820077
0.0,1,2.821633
0.0,1,2.823371
0.0,1,2.824992
0.0,1,2.826701
0.0,1,2.828372
0.0,1,2.830345
0.0,1,2.831966
0.0,1,2.833713
0.0,1,2.835416
0.0,1,2.837187
0.0,1,2.83889
0.0,1,2.840868
0.0,1,2.842593
0.0,1,2.928485
0.0,1,2.930825
0.0,1,2.93277
0.0,1,2.934503
0.0,1,2.936536
0.0,1,2.93837
0.0,1,2.940259
0.0,1,2.941972
0.0,1,2.944047
0.0,1,2.945673
0.0,1,2.947507
0.0,1,2.949143
0.0,1,2.950931
0.0,1,2.95259
0.0,1,2.95435
0.0,1,2.956078
0.0,1,2.9579
0.0,1,2.95974
0.0,1,2.961342
0.0,1,2.962943
0.0,1,2.964741
0.0,1,2.966578
0.0,1,2.968165
0.0,1,2.96981
0.0,1,2.971616
0.0,1,2.973435
0.0,1,2.975071
0.0,1,2.976968
0.0,1,2.97892
0.0,1,2.980789
0.0,1,2.982789
0.0,1,2.984984
0.0,1,2.987104
0.0,1,2.989002
0.0,1,2.991102
0.0,1,2.993131
0.0,1,2.994893
0.0,1,2.996622
0.0,1,2.998187
0.0,1,2.99997
0.0,1,3.001655
0.0,1,3.003551
0.0,1,3.005259
0.0,1,3.007074
0.0,1,3.008812
0.0,1,3.010723
0.0,1,3.012469
0.0,1,3.014518
0.0,1,3.016199
0.0,1,3.018035
0.0,1,3.01971
0.0,1,3.021592
0.0,1,3.0233
0.0,1,3.025133
0.0,1,3.026815
0.0,1,3.028704
0.0,1,3.030411
0.0,1,3.03224
0.0,1,3.033979
0.0,1,3.035796
0.0,1,3.037929
0.0,1,3.039791
0.0,1,3.041514
0.0,1,3.043598
0.0,1,3.045296
0.0,1,3.047115
0.0,1,3.04886
0.0,1,3.050891
0.0,1,3.052629
0.0,1,3.054724
0.0,1,3.056381
0.0,1,3.058232
0.0,1,3.059853
0.0,1,3.061956
0.0,1,3.063573
0.0,1,3.065513
0.0,1,3.067211
0.0,1,3.069126
0.0,1,3.070867
0.0,1,3.07279
0.0,1,3.074477
0.0,1,3.076323
0.0,1,3.078064
0.0,1,3.080046
0.0,1,3.081729
0.0,1,3.083598
0.0,1,3.085522
0.0,1,3.087409
0.0,1,3.089135
0.0,1,3.090965
